Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Product,A sample term set for Beginning SharePoint 2013 Building Team Solutions with SharePoint,,TRUE,AdventureWorks Ski Wear and Apparel,Ski Wear,,,,,,
,,,TRUE,AdventureWorks Googles,Ski Wear,Goggles,,,,,
,,,TRUE,AdventureWorks Ski and Snowboard Jackets,Ski Wear,Jackets,,,,,
,,,TRUE,AdventureWorks Ski and Snowboard Pants,Ski Wear,Pants,,,,,
,,,TRUE,AdventureWorks Gloves,Ski Wear,Gloves,,,,,
,,,TRUE,AdventureWorks Ski Equipment,Ski Equipment,,,,,,
,,,TRUE,AdventureWorks Ski Equipment,Ski Equipment,Skis,,,,,
,,,TRUE,AdventureWorks Ski Equipment,Ski Equipment,Ski Poles,,,,,
,,,TRUE,AdventureWorks Ski Equipment,Ski Equipment,Ski Boots,,,,,
,,,TRUE,AdventureWorks Snowboard Equipment,Snowboard Equipment,,,,,,
,,,TRUE,AdventureWorks Snowboard Equipment,Snowboard Equipment,Snowboards,,,,,
,,,TRUE,AdventureWorks Snowboard Equipment,Snowboard Equipment,Snowboard Boots,,,,,
